State,Year,Sample,Block,Crop,Station,Harmonia axyridis,Coccinella septempunctata,Hippodamia variegata,Propylea quatordecimpunctata,Coleomegilla maculata,Brachiacantha ursina,Cycloneda munda,H binotat,H parenthesis,H convergens,Syrphidae adults,Neuroptera adult,Cantharidae,Lampyridae,Dolichopodidae,Ladybug pupae,Ladybug larvae,Lacewing larvae,Syrphid larvae,Spiders,Anthocoridae,Nabidae,Carabidae,Staphylinidae,Opiliones,Formicidae,Crickets,Dermaptera,Slugs,Elateridae
WI,2,1,1,CORN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,2,1,1,CORN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WI,2,1,1,CORN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WI,2,1,1,CORN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,2,1,2,CORN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,2,1,2,CORN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
WI,2,1,2,CORN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WI,2,1,2,CORN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,2,1,3,CORN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WI,2,1,3,CORN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WI,2,1,3,CORN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
WI,2,1,3,CORN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
